#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p6_a6_h5_min_sequential_fr0.00_seed13.2026.03.27.11.20_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        77 0.00077         0        77 0.00077        54         1 0.00024 
        1     99923 0.99923         2       445 0.00445        59         1 0.00024 
      nan       nan     nan         3      5449 0.05449        63         3 0.00073 
      nan       nan     nan         4     26902 0.26902        64         3 0.00073 
      nan       nan     nan         5     67127 0.67127        65         4 0.00098 
      nan       nan     nan       nan       nan     nan        66         5 0.00122 
      nan       nan     nan       nan       nan     nan        67         8 0.00196 
      nan       nan     nan       nan       nan     nan        68         9 0.00220 
      nan       nan     nan       nan       nan     nan        69        11 0.00269 
      nan       nan     nan       nan       nan     nan        70        10 0.00244 
      nan       nan     nan       nan       nan     nan        71        18 0.00440 
      nan       nan     nan       nan       nan     nan        72        12 0.00293 
      nan       nan     nan       nan       nan     nan        73        23 0.00562 
      nan       nan     nan       nan       nan     nan        74        23 0.00562 
      nan       nan     nan       nan       nan     nan        75        24 0.00587 
      nan       nan     nan       nan       nan     nan        76        27 0.00660 
      nan       nan     nan       nan       nan     nan        77        34 0.00831 
      nan       nan     nan       nan       nan     nan        78        45 0.01100 
      nan       nan     nan       nan       nan     nan        79        55 0.01344 
      nan       nan     nan       nan       nan     nan        80        66 0.01613 
      nan       nan     nan       nan       nan     nan        81        78 0.01906 
      nan       nan     nan       nan       nan     nan        82        75 0.01833 
      nan       nan     nan       nan       nan     nan        83        88 0.02151 
      nan       nan     nan       nan       nan     nan        84        83 0.02028 
      nan       nan     nan       nan       nan     nan        85        92 0.02248 
      nan       nan     nan       nan       nan     nan        86       110 0.02688 
      nan       nan     nan       nan       nan     nan        87       100 0.02444 
      nan       nan     nan       nan       nan     nan        88        90 0.02199 
      nan       nan     nan       nan       nan     nan        89       107 0.02615 
      nan       nan     nan       nan       nan     nan        90       105 0.02566 
      nan       nan     nan       nan       nan     nan        91       109 0.02664 
      nan       nan     nan       nan       nan     nan        92       113 0.02761 
      nan       nan     nan       nan       nan     nan        93       102 0.02493 
      nan       nan     nan       nan       nan     nan        94        95 0.02322 
      nan       nan     nan       nan       nan     nan        95       110 0.02688 
      nan       nan     nan       nan       nan     nan        96       102 0.02493 
      nan       nan     nan       nan       nan     nan        97        93 0.02273 
      nan       nan     nan       nan       nan     nan        98        91 0.02224 
      nan       nan     nan       nan       nan     nan        99        93 0.02273 
      nan       nan     nan       nan       nan     nan       100        78 0.01906 
      nan       nan     nan       nan       nan     nan       101        83 0.02028 
      nan       nan     nan       nan       nan     nan       102        68 0.01662 
      nan       nan     nan       nan       nan     nan       103        83 0.02028 
      nan       nan     nan       nan       nan     nan       104        65 0.01588 
      nan       nan     nan       nan       nan     nan       105        44 0.01075 
      nan       nan     nan       nan       nan     nan       106        56 0.01369 
      nan       nan     nan       nan       nan     nan       107        65 0.01588 
      nan       nan     nan       nan       nan     nan       108        47 0.01149 
      nan       nan     nan       nan       nan     nan       109        34 0.00831 
      nan       nan     nan       nan       nan     nan       110        28 0.00684 
      nan       nan     nan       nan       nan     nan       111        37 0.00904 
      nan       nan     nan       nan       nan     nan       112        36 0.00880 
      nan       nan     nan       nan       nan     nan       113        27 0.00660 
      nan       nan     nan       nan       nan     nan       114        27 0.00660 
      nan       nan     nan       nan       nan     nan       115        22 0.00538 
      nan       nan     nan       nan       nan     nan       116        21 0.00513 
      nan       nan     nan       nan       nan     nan       117        19 0.00464 
      nan       nan     nan       nan       nan     nan       118        19 0.00464 
      nan       nan     nan       nan       nan     nan       119        17 0.00415 
      nan       nan     nan       nan       nan     nan       120        12 0.00293 
      nan       nan     nan       nan       nan     nan       121         7 0.00171 
      nan       nan     nan       nan       nan     nan       122        10 0.00244 
      nan       nan     nan       nan       nan     nan       123         6 0.00147 
      nan       nan     nan       nan       nan     nan       124         1 0.00024 
      nan       nan     nan       nan       nan     nan       125         3 0.00073 
