#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p12_a24_h12_valiant_sequential_fr0.00_seed13.2026.06.10.11.44_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0         4 0.00004         0         4 0.00004         0       357 0.00342 
        1     99996 0.99996         2        60 0.00060         1      1751 0.01677 
      nan       nan     nan         4       644 0.00644         2      4229 0.04051 
      nan       nan     nan         5       752 0.00752         3      7069 0.06771 
      nan       nan     nan         7       671 0.00671         4      9115 0.08731 
      nan       nan     nan         8     97869 0.97869         5     10212 0.09782 
      nan       nan     nan       nan       nan     nan         6     10811 0.10355 
      nan       nan     nan       nan       nan     nan         7     10485 0.10043 
      nan       nan     nan       nan       nan     nan         8     10237 0.09806 
      nan       nan     nan       nan       nan     nan         9      9511 0.09110 
      nan       nan     nan       nan       nan     nan        10      8219 0.07873 
      nan       nan     nan       nan       nan     nan        11      6741 0.06457 
      nan       nan     nan       nan       nan     nan        12      5286 0.05063 
      nan       nan     nan       nan       nan     nan        13      3879 0.03716 
      nan       nan     nan       nan       nan     nan        14      2655 0.02543 
      nan       nan     nan       nan       nan     nan        15      1709 0.01637 
      nan       nan     nan       nan       nan     nan        16      1001 0.00959 
      nan       nan     nan       nan       nan     nan        17       521 0.00499 
      nan       nan     nan       nan       nan     nan        18       326 0.00312 
      nan       nan     nan       nan       nan     nan        19       161 0.00154 
      nan       nan     nan       nan       nan     nan        20        61 0.00058 
      nan       nan     nan       nan       nan     nan        21        37 0.00035 
      nan       nan     nan       nan       nan     nan        22        16 0.00015 
      nan       nan     nan       nan       nan     nan        23         7 0.00007 
      nan       nan     nan       nan       nan     nan        24         3 0.00003 
      nan       nan     nan       nan       nan     nan        26         1 0.00001 
