#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./megafly_p3_a6_h3_min_sequential_fr0.00_seed13.2026.03.25.18.37_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0      1089 0.01089         0      1089 0.01089       920         1 0.00222 
        1     98911 0.98911         2      2181 0.02181       936         1 0.00222 
      nan       nan     nan         4      6786 0.06786       938         1 0.00222 
      nan       nan     nan         5     89944 0.89944       940         1 0.00222 
      nan       nan     nan       nan       nan     nan       944         1 0.00222 
      nan       nan     nan       nan       nan     nan       948         2 0.00444 
      nan       nan     nan       nan       nan     nan       951         1 0.00222 
      nan       nan     nan       nan       nan     nan       953         1 0.00222 
      nan       nan     nan       nan       nan     nan       954         2 0.00444 
      nan       nan     nan       nan       nan     nan       956         1 0.00222 
      nan       nan     nan       nan       nan     nan       957         1 0.00222 
      nan       nan     nan       nan       nan     nan       958         2 0.00444 
      nan       nan     nan       nan       nan     nan       959         1 0.00222 
      nan       nan     nan       nan       nan     nan       961         2 0.00444 
      nan       nan     nan       nan       nan     nan       962         1 0.00222 
      nan       nan     nan       nan       nan     nan       963         4 0.00889 
      nan       nan     nan       nan       nan     nan       966         1 0.00222 
      nan       nan     nan       nan       nan     nan       967         4 0.00889 
      nan       nan     nan       nan       nan     nan       968         1 0.00222 
      nan       nan     nan       nan       nan     nan       969         1 0.00222 
      nan       nan     nan       nan       nan     nan       970         3 0.00667 
      nan       nan     nan       nan       nan     nan       971         2 0.00444 
      nan       nan     nan       nan       nan     nan       973         2 0.00444 
      nan       nan     nan       nan       nan     nan       974         2 0.00444 
      nan       nan     nan       nan       nan     nan       975         1 0.00222 
      nan       nan     nan       nan       nan     nan       977         2 0.00444 
      nan       nan     nan       nan       nan     nan       980         2 0.00444 
      nan       nan     nan       nan       nan     nan       981         2 0.00444 
      nan       nan     nan       nan       nan     nan       982         4 0.00889 
      nan       nan     nan       nan       nan     nan       983         1 0.00222 
      nan       nan     nan       nan       nan     nan       986         6 0.01333 
      nan       nan     nan       nan       nan     nan       987         2 0.00444 
      nan       nan     nan       nan       nan     nan       988         2 0.00444 
      nan       nan     nan       nan       nan     nan       989         1 0.00222 
      nan       nan     nan       nan       nan     nan       990         7 0.01556 
      nan       nan     nan       nan       nan     nan       991         6 0.01333 
      nan       nan     nan       nan       nan     nan       992         3 0.00667 
      nan       nan     nan       nan       nan     nan       993         1 0.00222 
      nan       nan     nan       nan       nan     nan       994         2 0.00444 
      nan       nan     nan       nan       nan     nan       995         3 0.00667 
      nan       nan     nan       nan       nan     nan       996         1 0.00222 
      nan       nan     nan       nan       nan     nan       997         3 0.00667 
      nan       nan     nan       nan       nan     nan       998         1 0.00222 
      nan       nan     nan       nan       nan     nan       999         3 0.00667 
      nan       nan     nan       nan       nan     nan      1000         3 0.00667 
      nan       nan     nan       nan       nan     nan      1001         1 0.00222 
      nan       nan     nan       nan       nan     nan      1002         2 0.00444 
      nan       nan     nan       nan       nan     nan      1004         4 0.00889 
      nan       nan     nan       nan       nan     nan      1005         5 0.01111 
      nan       nan     nan       nan       nan     nan      1006         4 0.00889 
      nan       nan     nan       nan       nan     nan      1007         2 0.00444 
      nan       nan     nan       nan       nan     nan      1008         2 0.00444 
      nan       nan     nan       nan       nan     nan      1009         4 0.00889 
      nan       nan     nan       nan       nan     nan      1010         3 0.00667 
      nan       nan     nan       nan       nan     nan      1011         3 0.00667 
      nan       nan     nan       nan       nan     nan      1012         2 0.00444 
      nan       nan     nan       nan       nan     nan      1013         4 0.00889 
      nan       nan     nan       nan       nan     nan      1016         1 0.00222 
      nan       nan     nan       nan       nan     nan      1017         2 0.00444 
      nan       nan     nan       nan       nan     nan      1018         1 0.00222 
      nan       nan     nan       nan       nan     nan      1019         2 0.00444 
      nan       nan     nan       nan       nan     nan      1021         4 0.00889 
      nan       nan     nan       nan       nan     nan      1023         2 0.00444 
      nan       nan     nan       nan       nan     nan      1025         1 0.00222 
      nan       nan     nan       nan       nan     nan      1026         3 0.00667 
      nan       nan     nan       nan       nan     nan      1027         2 0.00444 
      nan       nan     nan       nan       nan     nan      1028         2 0.00444 
      nan       nan     nan       nan       nan     nan      1029         3 0.00667 
      nan       nan     nan       nan       nan     nan      1030         1 0.00222 
      nan       nan     nan       nan       nan     nan      1031         1 0.00222 
      nan       nan     nan       nan       nan     nan      1032         3 0.00667 
      nan       nan     nan       nan       nan     nan      1033         2 0.00444 
      nan       nan     nan       nan       nan     nan      1035         2 0.00444 
      nan       nan     nan       nan       nan     nan      1036         3 0.00667 
      nan       nan     nan       nan       nan     nan      1037         1 0.00222 
      nan       nan     nan       nan       nan     nan      1038         2 0.00444 
      nan       nan     nan       nan       nan     nan      1039         1 0.00222 
      nan       nan     nan       nan       nan     nan      1040         2 0.00444 
      nan       nan     nan       nan       nan     nan      1041         2 0.00444 
      nan       nan     nan       nan       nan     nan      1042         1 0.00222 
      nan       nan     nan       nan       nan     nan      1043         3 0.00667 
      nan       nan     nan       nan       nan     nan      1044         2 0.00444 
      nan       nan     nan       nan       nan     nan      1046         3 0.00667 
      nan       nan     nan       nan       nan     nan      1047         2 0.00444 
      nan       nan     nan       nan       nan     nan      1048         1 0.00222 
      nan       nan     nan       nan       nan     nan      1049         1 0.00222 
      nan       nan     nan       nan       nan     nan      1050         5 0.01111 
      nan       nan     nan       nan       nan     nan      1051         2 0.00444 
      nan       nan     nan       nan       nan     nan      1052         1 0.00222 
      nan       nan     nan       nan       nan     nan      1053         1 0.00222 
      nan       nan     nan       nan       nan     nan      1054         2 0.00444 
      nan       nan     nan       nan       nan     nan      1055         2 0.00444 
      nan       nan     nan       nan       nan     nan      1057         2 0.00444 
      nan       nan     nan       nan       nan     nan      1058         4 0.00889 
      nan       nan     nan       nan       nan     nan      1059         1 0.00222 
      nan       nan     nan       nan       nan     nan      1060         1 0.00222 
      nan       nan     nan       nan       nan     nan      1061         3 0.00667 
      nan       nan     nan       nan       nan     nan      1063         3 0.00667 
      nan       nan     nan       nan       nan     nan      1064         1 0.00222 
      nan       nan     nan       nan       nan     nan      1065         3 0.00667 
      nan       nan     nan       nan       nan     nan      1067         4 0.00889 
      nan       nan     nan       nan       nan     nan      1068         2 0.00444 
      nan       nan     nan       nan       nan     nan      1069         2 0.00444 
      nan       nan     nan       nan       nan     nan      1070         1 0.00222 
      nan       nan     nan       nan       nan     nan      1071         1 0.00222 
      nan       nan     nan       nan       nan     nan      1072         1 0.00222 
      nan       nan     nan       nan       nan     nan      1073         1 0.00222 
      nan       nan     nan       nan       nan     nan      1075         3 0.00667 
      nan       nan     nan       nan       nan     nan      1076         1 0.00222 
      nan       nan     nan       nan       nan     nan      1077         1 0.00222 
      nan       nan     nan       nan       nan     nan      1079         4 0.00889 
      nan       nan     nan       nan       nan     nan      1080         3 0.00667 
      nan       nan     nan       nan       nan     nan      1081         1 0.00222 
      nan       nan     nan       nan       nan     nan      1082         3 0.00667 
      nan       nan     nan       nan       nan     nan      1083         1 0.00222 
      nan       nan     nan       nan       nan     nan      1084         4 0.00889 
      nan       nan     nan       nan       nan     nan      1085         2 0.00444 
      nan       nan     nan       nan       nan     nan      1086         5 0.01111 
      nan       nan     nan       nan       nan     nan      1087         2 0.00444 
      nan       nan     nan       nan       nan     nan      1088         3 0.00667 
      nan       nan     nan       nan       nan     nan      1089         4 0.00889 
      nan       nan     nan       nan       nan     nan      1090         1 0.00222 
      nan       nan     nan       nan       nan     nan      1091         4 0.00889 
      nan       nan     nan       nan       nan     nan      1092         1 0.00222 
      nan       nan     nan       nan       nan     nan      1093         2 0.00444 
      nan       nan     nan       nan       nan     nan      1094         4 0.00889 
      nan       nan     nan       nan       nan     nan      1096         5 0.01111 
      nan       nan     nan       nan       nan     nan      1097         6 0.01333 
      nan       nan     nan       nan       nan     nan      1098         2 0.00444 
      nan       nan     nan       nan       nan     nan      1099         8 0.01778 
      nan       nan     nan       nan       nan     nan      1101         2 0.00444 
      nan       nan     nan       nan       nan     nan      1102         4 0.00889 
      nan       nan     nan       nan       nan     nan      1104         3 0.00667 
      nan       nan     nan       nan       nan     nan      1105         5 0.01111 
      nan       nan     nan       nan       nan     nan      1106         4 0.00889 
      nan       nan     nan       nan       nan     nan      1107         1 0.00222 
      nan       nan     nan       nan       nan     nan      1108         2 0.00444 
      nan       nan     nan       nan       nan     nan      1109         3 0.00667 
      nan       nan     nan       nan       nan     nan      1111         1 0.00222 
      nan       nan     nan       nan       nan     nan      1112         2 0.00444 
      nan       nan     nan       nan       nan     nan      1113         5 0.01111 
      nan       nan     nan       nan       nan     nan      1115         2 0.00444 
      nan       nan     nan       nan       nan     nan      1116         2 0.00444 
      nan       nan     nan       nan       nan     nan      1117         5 0.01111 
      nan       nan     nan       nan       nan     nan      1118         1 0.00222 
      nan       nan     nan       nan       nan     nan      1119         1 0.00222 
      nan       nan     nan       nan       nan     nan      1120         3 0.00667 
      nan       nan     nan       nan       nan     nan      1121         7 0.01556 
      nan       nan     nan       nan       nan     nan      1122         1 0.00222 
      nan       nan     nan       nan       nan     nan      1123         3 0.00667 
      nan       nan     nan       nan       nan     nan      1125         1 0.00222 
      nan       nan     nan       nan       nan     nan      1126         6 0.01333 
      nan       nan     nan       nan       nan     nan      1127         2 0.00444 
      nan       nan     nan       nan       nan     nan      1128         2 0.00444 
      nan       nan     nan       nan       nan     nan      1129         1 0.00222 
      nan       nan     nan       nan       nan     nan      1130         4 0.00889 
      nan       nan     nan       nan       nan     nan      1131         1 0.00222 
      nan       nan     nan       nan       nan     nan      1132         3 0.00667 
      nan       nan     nan       nan       nan     nan      1133         3 0.00667 
      nan       nan     nan       nan       nan     nan      1134         2 0.00444 
      nan       nan     nan       nan       nan     nan      1136         1 0.00222 
      nan       nan     nan       nan       nan     nan      1137         1 0.00222 
      nan       nan     nan       nan       nan     nan      1139         2 0.00444 
      nan       nan     nan       nan       nan     nan      1140         3 0.00667 
      nan       nan     nan       nan       nan     nan      1142         3 0.00667 
