family,topo_name,size_param,tpattern,n_servers,n_switches,switch_radix,n_links,path_mean,path_std,path_max,hop_mean,hop_std,flows_link_mean,flows_link_std,flows_link_max,flows_bottleneck,flows_over_mean,p_flows_connected
MegaFly,megafly_16,16,alltoall,4160.0,1040.0,16.0,20800.0,4.980288,0.185005,5.0,0.9997599999999999,0.015502,4143.6,71.108952,4544.0,3807.535211,4176.46491,100.0
MegaFly,megafly_16,16,bisection,4160.0,1040.0,16.0,20800.0,4.9817306666666665,0.16271899999999997,5.0,1.0,0.0,0.996346,0.7373980000000001,5.666666666666667,3075811.555555334,17369065.181664333,100.0
MegaFly,megafly_16,16,hotregion_1000,4160.0,1040.0,16.0,20800.0,4.977,0.20276566666666665,5.0,0.9993333333333334,0.014899666666666667,0.23927866666666667,0.509351,5.333333333333333,3268049.7777776667,72324070.012428,100.0
MegaFly,megafly_16,16,random_5000,4160.0,1040.0,16.0,20800.0,4.9816,0.17548466666666665,5.0,0.9997333333333334,0.016094,1.1975,1.0870816666666665,7.333333333333333,2368649.5238093333,14451443.219312668,100.0
MegaFly,megafly_16,16,shift_5,4160.0,1040.0,16.0,20800.0,3.328125,1.061593,5.0,1.0,0.0,0.665625,1.133636,5.0,3460288.0,25999023.474178,100.0
MegaFly,megafly_20,20,alltoall,10100.0,2020.0,20.0,50500.0,4.987921,0.138781,5.0,0.999901,0.00995,10075.6,127.300278,10900.0,9357.788991,10124.459089,100.0
MegaFly,megafly_20,20,bisection,10100.0,2020.0,20.0,50500.0,4.987393,0.14626866666666669,5.0,1.0,0.0,0.9974783333333334,0.7408073333333333,6.333333333333333,16190460.31746,102267873.23248933,100.0
MegaFly,megafly_20,20,hotregion_1000,10100.0,2020.0,20.0,50500.0,4.990333333333333,0.13098766666666667,5.0,0.9996666666666667,0.010541,0.09881833333333334,0.31936133333333333,4.0,25499975.0,1032296893.5343777,100.0
MegaFly,megafly_20,20,random_5000,10100.0,2020.0,20.0,50500.0,4.9876,0.144439,5.0,0.9998666666666667,0.006665999999999999,0.493822,0.701082,6.0,17323792.539682332,206572574.18666497,100.0
MegaFly,megafly_20,20,shift_5,10100.0,2020.0,20.0,50500.0,3.0499999999999994,1.071267,5.0,1.0,0.0,0.61,1.03823,5.0,20399980.0,167229508.196721,100.0
MegaFly,megafly_4,4,alltoall,20.0,20.0,4.0,100.0,4.5,1.246549,5.0,0.9499999999999998,0.218218,18.0,1.68175,20.0,19.0,22.222222,100.0
MegaFly,megafly_4,4,bisection,20.0,20.0,4.0,100.0,4.966666666666667,0.10259800000000001,5.0,1.0,0.0,0.9933333333333333,0.6174746666666667,2.6666666666666665,147.777778,402.7210883333334,100.0
MegaFly,megafly_4,4,hotregion_1000,20.0,20.0,4.0,100.0,4.520666666666667,1.2323633333333335,5.0,0.9513333333333334,0.21509466666666666,45.20666666666667,25.821843333333334,158.66666666666666,2.39855,8.848449666666667,100.0
MegaFly,megafly_4,4,random_5000,20.0,20.0,4.0,100.0,4.5156,1.2256393333333333,5.0,0.9516,0.21443766666666667,225.78,26.705534,282.3333333333333,1.3479489999999998,1.7716826666666667,100.0
MegaFly,megafly_4,4,shift_5,20.0,20.0,4.0,100.0,5.0,0.0,5.0,1.0,0.0,1.0,0.791368,3.0,126.666667,400.0,100.0
MegaFly,megafly_8,8,alltoall,272.0,136.0,8.0,1360.0,4.904412,0.475563,5.0,0.996324,0.060523,266.8,11.271797999999999,304.0,242.47368399999996,277.301349,100.0
MegaFly,megafly_8,8,bisection,272.0,136.0,8.0,1360.0,4.914215666666667,0.363091,5.0,1.0,0.0,0.9828433333333333,0.6954893333333333,4.0,18428.0,75280.444722,100.0
MegaFly,megafly_8,8,hotregion_1000,272.0,136.0,8.0,1360.0,4.901,0.4903743333333333,5.0,0.9956666666666667,0.064178,3.603676333333333,2.6606893333333335,18.0,4095.111111,20530.242448,100.0
MegaFly,megafly_8,8,random_5000,272.0,136.0,8.0,1360.0,4.902266666666667,0.48332899999999995,5.0,0.9962666666666666,0.060678,18.023039333333333,4.3311416666666664,34.333333333333336,2157.6391879999996,4104.968303333334,100.0
MegaFly,megafly_8,8,shift_5,272.0,136.0,8.0,1360.0,4.3125,0.464367,5.0,1.0,0.0,0.8625000000000002,1.142299,5.0,14742.4,85778.550725,100.0
SlimFly,slimfly_13,13,alltoall,3380.0,338.0,29.0,13182.0,3.9372780000000005,0.260122,4.0,0.999704,0.017198,3412.307692,267.616459,3700.0,3086.7621620000004,3347.9981969999994,100.0
SlimFly,slimfly_13,13,bisection,3380.0,338.0,29.0,13182.0,3.9335306666666665,0.26474000000000003,4.0,1.0,0.0,1.0085976666666667,0.6886113333333332,5.666666666666667,2030403.5555553334,11327054.389016667,100.0
SlimFly,slimfly_13,13,hotregion_1000,3380.0,338.0,29.0,13182.0,3.937666666666667,0.2526256666666667,4.0,1.0,0.0,0.2987153333333333,0.55948,4.333333333333333,2664904.6666666665,38245106.699571006,100.0
SlimFly,slimfly_13,13,random_5000,3380.0,338.0,29.0,13182.0,3.9388,0.261901,4.0,0.9995333333333334,0.020805333333333332,1.4940069999999999,1.2357516666666666,8.333333333333334,1374752.4074073334,7646821.212508333,100.0
SlimFly,slimfly_13,13,shift_5,3380.0,338.0,29.0,13182.0,2.769231,0.846279,4.0,1.0,0.0,0.7100589999999999,0.997449,5.0,2284204.0,16089363.333333,100.0
SlimFly,slimfly_17,17,alltoall,7514.0,578.0,38.0,29478.0,3.953021,0.22262799999999996,4.0,0.999867,0.011534999999999998,7571.352941,669.218662,8281.0,6817.133438,7457.081507,100.0
SlimFly,slimfly_17,17,bisection,7514.0,578.0,38.0,29478.0,3.95067,0.22355500000000003,4.0,1.0,0.0,1.0070333333333332,0.6962296666666666,6.333333333333333,8960743.174603,56065908.45843167,100.0
SlimFly,slimfly_17,17,hotregion_1000,7514.0,578.0,38.0,29478.0,3.9613333333333336,0.1984786666666667,4.0,1.0,0.0,0.134383,0.3705893333333334,3.6666666666666665,15681300.555555666,420148916.1596003,100.0
SlimFly,slimfly_17,17,random_5000,7514.0,578.0,38.0,29478.0,3.9515333333333333,0.22491833333333333,4.0,0.9998,0.011380000000000001,0.670251,0.820758,6.0,9587995.196825333,84237368.28269033,100.0
SlimFly,slimfly_17,17,shift_5,7514.0,578.0,38.0,29478.0,2.588235,0.8059410000000001,4.0,1.0,0.0,0.659746,0.907898,5.0,11290536.4,85578653.727273,100.0
SlimFly,slimfly_3,3,alltoall,54.0,18.0,8.0,198.0,3.574074,0.735524,4.0,0.981481,0.13484,52.63636399999999,8.949327,63.0,45.428571,55.398964,100.0
SlimFly,slimfly_3,3,bisection,54.0,18.0,8.0,198.0,3.5925930000000004,0.5424563333333333,4.0,1.0,0.0,0.9797980000000001,0.532849,3.0,954.0,2976.334604333333,100.0
SlimFly,slimfly_3,3,hotregion_1000,54.0,18.0,8.0,198.0,3.5766666666666667,0.7245689999999999,4.0,0.9826666666666667,0.129948,18.063973,10.376027,63.666666666666664,45.072268666666666,161.43014200000002,100.0
SlimFly,slimfly_3,3,random_5000,54.0,18.0,8.0,198.0,3.5734,0.7303936666666666,4.0,0.9823333333333334,0.13173466666666667,90.23737366666667,18.070378333333334,134.66666666666666,21.260652333333336,32.31505533333333,100.0
SlimFly,slimfly_3,3,shift_5,54.0,18.0,8.0,198.0,3.5555560000000006,0.50157,4.0,1.0,0.0,0.969697,0.675226,4.0,715.5,3007.125,100.0
