#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./slimfly_p4_a5_h5_min_sequential_fr0.00_seed13.2026.03.14.14.29_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0       507 0.00507         0       507 0.00507       294         1 0.00133 
        1     99493 0.99493         2      1541 0.01541       312         1 0.00133 
      nan       nan     nan         3     13785 0.13785       314         1 0.00133 
      nan       nan     nan         4     70484 0.70484       316         1 0.00133 
      nan       nan     nan         5     13683 0.13683       322         1 0.00133 
      nan       nan     nan       nan       nan     nan       323         1 0.00133 
      nan       nan     nan       nan       nan     nan       333         1 0.00133 
      nan       nan     nan       nan       nan     nan       334         1 0.00133 
      nan       nan     nan       nan       nan     nan       336         1 0.00133 
      nan       nan     nan       nan       nan     nan       337         1 0.00133 
      nan       nan     nan       nan       nan     nan       338         1 0.00133 
      nan       nan     nan       nan       nan     nan       343         2 0.00267 
      nan       nan     nan       nan       nan     nan       344         2 0.00267 
      nan       nan     nan       nan       nan     nan       345         2 0.00267 
      nan       nan     nan       nan       nan     nan       347         1 0.00133 
      nan       nan     nan       nan       nan     nan       348         2 0.00267 
      nan       nan     nan       nan       nan     nan       349         1 0.00133 
      nan       nan     nan       nan       nan     nan       350         1 0.00133 
      nan       nan     nan       nan       nan     nan       351         2 0.00267 
      nan       nan     nan       nan       nan     nan       352         1 0.00133 
      nan       nan     nan       nan       nan     nan       354         1 0.00133 
      nan       nan     nan       nan       nan     nan       355         1 0.00133 
      nan       nan     nan       nan       nan     nan       356         1 0.00133 
      nan       nan     nan       nan       nan     nan       358         1 0.00133 
      nan       nan     nan       nan       nan     nan       359         1 0.00133 
      nan       nan     nan       nan       nan     nan       360         1 0.00133 
      nan       nan     nan       nan       nan     nan       363         2 0.00267 
      nan       nan     nan       nan       nan     nan       364         1 0.00133 
      nan       nan     nan       nan       nan     nan       365         1 0.00133 
      nan       nan     nan       nan       nan     nan       367         1 0.00133 
      nan       nan     nan       nan       nan     nan       368         2 0.00267 
      nan       nan     nan       nan       nan     nan       369         1 0.00133 
      nan       nan     nan       nan       nan     nan       370         2 0.00267 
      nan       nan     nan       nan       nan     nan       371         1 0.00133 
      nan       nan     nan       nan       nan     nan       372         2 0.00267 
      nan       nan     nan       nan       nan     nan       373         1 0.00133 
      nan       nan     nan       nan       nan     nan       374         1 0.00133 
      nan       nan     nan       nan       nan     nan       375         3 0.00400 
      nan       nan     nan       nan       nan     nan       377         1 0.00133 
      nan       nan     nan       nan       nan     nan       379         1 0.00133 
      nan       nan     nan       nan       nan     nan       380         1 0.00133 
      nan       nan     nan       nan       nan     nan       382         2 0.00267 
      nan       nan     nan       nan       nan     nan       383         1 0.00133 
      nan       nan     nan       nan       nan     nan       387         1 0.00133 
      nan       nan     nan       nan       nan     nan       390         2 0.00267 
      nan       nan     nan       nan       nan     nan       391         5 0.00667 
      nan       nan     nan       nan       nan     nan       393         1 0.00133 
      nan       nan     nan       nan       nan     nan       395         2 0.00267 
      nan       nan     nan       nan       nan     nan       397         3 0.00400 
      nan       nan     nan       nan       nan     nan       398         1 0.00133 
      nan       nan     nan       nan       nan     nan       399         1 0.00133 
      nan       nan     nan       nan       nan     nan       401         2 0.00267 
      nan       nan     nan       nan       nan     nan       404         1 0.00133 
      nan       nan     nan       nan       nan     nan       406         1 0.00133 
      nan       nan     nan       nan       nan     nan       407         4 0.00533 
      nan       nan     nan       nan       nan     nan       409         3 0.00400 
      nan       nan     nan       nan       nan     nan       411         1 0.00133 
      nan       nan     nan       nan       nan     nan       412         1 0.00133 
      nan       nan     nan       nan       nan     nan       413         1 0.00133 
      nan       nan     nan       nan       nan     nan       414         2 0.00267 
      nan       nan     nan       nan       nan     nan       415         3 0.00400 
      nan       nan     nan       nan       nan     nan       417         1 0.00133 
      nan       nan     nan       nan       nan     nan       420         1 0.00133 
      nan       nan     nan       nan       nan     nan       421         1 0.00133 
      nan       nan     nan       nan       nan     nan       424         1 0.00133 
      nan       nan     nan       nan       nan     nan       426         2 0.00267 
      nan       nan     nan       nan       nan     nan       427         1 0.00133 
      nan       nan     nan       nan       nan     nan       428         1 0.00133 
      nan       nan     nan       nan       nan     nan       429         2 0.00267 
      nan       nan     nan       nan       nan     nan       430         1 0.00133 
      nan       nan     nan       nan       nan     nan       431         2 0.00267 
      nan       nan     nan       nan       nan     nan       433         1 0.00133 
      nan       nan     nan       nan       nan     nan       434         1 0.00133 
      nan       nan     nan       nan       nan     nan       435         1 0.00133 
      nan       nan     nan       nan       nan     nan       436         1 0.00133 
      nan       nan     nan       nan       nan     nan       437         2 0.00267 
      nan       nan     nan       nan       nan     nan       438         3 0.00400 
      nan       nan     nan       nan       nan     nan       441         1 0.00133 
      nan       nan     nan       nan       nan     nan       442         1 0.00133 
      nan       nan     nan       nan       nan     nan       443         1 0.00133 
      nan       nan     nan       nan       nan     nan       444         3 0.00400 
      nan       nan     nan       nan       nan     nan       445         1 0.00133 
      nan       nan     nan       nan       nan     nan       447         1 0.00133 
      nan       nan     nan       nan       nan     nan       448         5 0.00667 
      nan       nan     nan       nan       nan     nan       450         1 0.00133 
      nan       nan     nan       nan       nan     nan       451         2 0.00267 
      nan       nan     nan       nan       nan     nan       452         1 0.00133 
      nan       nan     nan       nan       nan     nan       454         2 0.00267 
      nan       nan     nan       nan       nan     nan       455         1 0.00133 
      nan       nan     nan       nan       nan     nan       456         1 0.00133 
      nan       nan     nan       nan       nan     nan       458         5 0.00667 
      nan       nan     nan       nan       nan     nan       459         2 0.00267 
      nan       nan     nan       nan       nan     nan       460         3 0.00400 
      nan       nan     nan       nan       nan     nan       461         4 0.00533 
