topology,routing,tpattern,load,seed,logfile
megafly_4,static,uniform,0.2,13,results_insee/megafly_4_static_uniform_load0.2_seed13.log
megafly_4,static,uniform,0.4,13,results_insee/megafly_4_static_uniform_load0.4_seed13.log
megafly_4,static,uniform,0.6,13,results_insee/megafly_4_static_uniform_load0.6_seed13.log
megafly_4,static,uniform,0.8,13,results_insee/megafly_4_static_uniform_load0.8_seed13.log
megafly_4,static,hotregion,0.2,13,results_insee/megafly_4_static_hotregion_load0.2_seed13.log
megafly_4,static,hotregion,0.4,13,results_insee/megafly_4_static_hotregion_load0.4_seed13.log
megafly_4,static,hotregion,0.6,13,results_insee/megafly_4_static_hotregion_load0.6_seed13.log
megafly_4,static,hotregion,0.8,13,results_insee/megafly_4_static_hotregion_load0.8_seed13.log
megafly_4,static,shuffle,0.2,13,results_insee/megafly_4_static_shuffle_load0.2_seed13.log
megafly_4,static,shuffle,0.4,13,results_insee/megafly_4_static_shuffle_load0.4_seed13.log
megafly_4,static,shuffle,0.6,13,results_insee/megafly_4_static_shuffle_load0.6_seed13.log
megafly_4,static,shuffle,0.8,13,results_insee/megafly_4_static_shuffle_load0.8_seed13.log
megafly_8,static,uniform,0.2,13,results_insee/megafly_8_static_uniform_load0.2_seed13.log
megafly_8,static,uniform,0.4,13,results_insee/megafly_8_static_uniform_load0.4_seed13.log
megafly_8,static,uniform,0.6,13,results_insee/megafly_8_static_uniform_load0.6_seed13.log
megafly_8,static,uniform,0.8,13,results_insee/megafly_8_static_uniform_load0.8_seed13.log
megafly_8,static,hotregion,0.2,13,results_insee/megafly_8_static_hotregion_load0.2_seed13.log
megafly_8,static,hotregion,0.4,13,results_insee/megafly_8_static_hotregion_load0.4_seed13.log
megafly_8,static,hotregion,0.6,13,results_insee/megafly_8_static_hotregion_load0.6_seed13.log
megafly_8,static,hotregion,0.8,13,results_insee/megafly_8_static_hotregion_load0.8_seed13.log
megafly_8,static,shuffle,0.2,13,results_insee/megafly_8_static_shuffle_load0.2_seed13.log
megafly_8,static,shuffle,0.4,13,results_insee/megafly_8_static_shuffle_load0.4_seed13.log
megafly_8,static,shuffle,0.6,13,results_insee/megafly_8_static_shuffle_load0.6_seed13.log
megafly_8,static,shuffle,0.8,13,results_insee/megafly_8_static_shuffle_load0.8_seed13.log
megafly_10,static,uniform,0.2,13,results_insee/megafly_10_static_uniform_load0.2_seed13.log
megafly_10,static,uniform,0.4,13,results_insee/megafly_10_static_uniform_load0.4_seed13.log
megafly_10,static,uniform,0.6,13,results_insee/megafly_10_static_uniform_load0.6_seed13.log
megafly_10,static,uniform,0.8,13,results_insee/megafly_10_static_uniform_load0.8_seed13.log
megafly_10,static,hotregion,0.2,13,results_insee/megafly_10_static_hotregion_load0.2_seed13.log
megafly_10,static,hotregion,0.4,13,results_insee/megafly_10_static_hotregion_load0.4_seed13.log
megafly_10,static,hotregion,0.6,13,results_insee/megafly_10_static_hotregion_load0.6_seed13.log
megafly_10,static,hotregion,0.8,13,results_insee/megafly_10_static_hotregion_load0.8_seed13.log
