filename,topo_name,family,size_param,routing,tpattern,load,seed,n_servers,converged,avg_batch_time,avg_av_distance,avg_inj_load,avg_acc_load,avg_pkt_sent,avg_pkt_rcvd,avg_pkt_drop,avg_avg_delay,avg_std_delay,avg_max_delay,avg_inj_avg_del,avg_inj_std_del,avg_inj_max_del,std_batch_time,std_av_distance,std_inj_load,std_acc_load,std_pkt_sent,std_pkt_rcvd,std_pkt_drop,std_avg_delay,std_std_delay,std_max_delay,std_inj_avg_del,std_inj_std_del,std_inj_max_del
megafly_10_static_hotregion_load0.2_seed13.log,megafly_10,MegaFly,10,static,hotregion,0.2,13,588,True,1000.0,4.95077,0.19106,0.19082,15524.0,15504.4,0.0,171.13,200.55,1602.8,55.72,123.06,1183.5,0.0,0.00244,0.00173,0.00379,140.86,305.58,0.0,13.99,14.63,172.92,8.18,11.06,174.19
megafly_10_static_hotregion_load0.4_seed13.log,megafly_10,MegaFly,10,static,hotregion,0.4,13,588,True,1000.0,4.94969,0.19292,0.19287,15674.5,15671.9,0.0,491.4,275.56,2228.0,279.27,211.51,1729.3,0.0,0.004,0.00255,0.00284,207.36,229.25,0.0,10.39,7.84,302.71,6.78,5.87,225.58
megafly_10_static_hotregion_load0.6_seed13.log,megafly_10,MegaFly,10,static,hotregion,0.6,13,588,True,1000.0,4.9499,0.19388,0.19384,15752.8,15747.7,0.0,517.99,268.4,2033.2,305.04,205.47,1633.6,0.0,0.00209,0.00495,0.00494,402.43,391.45,0.0,9.98,9.58,151.05,6.48,6.83,172.06
megafly_10_static_hotregion_load0.8_seed13.log,megafly_10,MegaFly,10,static,hotregion,0.8,13,588,True,1000.0,4.94945,0.18989,0.18997,15428.9,15434.8,0.0,538.19,272.82,2070.3,320.71,209.17,1679.1,0.0,0.00255,0.00451,0.00441,366.06,354.29,0.0,11.63,12.42,198.3,7.36,9.74,237.92
megafly_10_static_shuffle_load0.2_seed13.log,megafly_10,MegaFly,10,static,shuffle,0.2,13,588,True,1000.0,4.94043,0.08274,0.08272,6722.6,6721.2,0.0,1177.64,483.36,3277.5,722.28,353.22,2479.8,0.0,0.00238,0.00027,0.00019,22.25,15.33,0.0,5.57,10.52,227.66,3.72,6.21,210.92
megafly_10_static_shuffle_load0.4_seed13.log,megafly_10,MegaFly,10,static,shuffle,0.4,13,588,True,1000.0,4.89815,0.08535,0.08532,6934.3,6932.3,0.0,1174.95,496.43,3339.6,727.48,358.07,2436.0,0.0,0.00323,0.00043,0.00021,35.33,17.51,0.0,6.43,7.47,233.34,3.28,5.07,259.26
megafly_10_static_shuffle_load0.6_seed13.log,megafly_10,MegaFly,10,static,shuffle,0.6,13,588,True,1000.0,4.8725,0.08655,0.08655,7032.1,7031.9,0.0,1168.02,503.12,3308.1,724.06,360.98,2523.6,0.0,0.00368,0.00025,0.00026,20.47,21.23,0.0,4.87,5.44,152.97,3.92,4.03,132.77
megafly_10_static_shuffle_load0.8_seed13.log,megafly_10,MegaFly,10,static,shuffle,0.8,13,588,True,1000.0,4.85635,0.08715,0.08716,7080.6,7082.0,0.0,1161.82,505.74,3469.7,720.3,360.84,2608.2,0.0,0.00282,0.00019,0.00022,15.56,18.91,0.0,5.87,7.09,276.28,3.51,6.87,203.79
megafly_10_static_uniform_load0.2_seed13.log,megafly_10,MegaFly,10,static,uniform,0.2,13,588,True,1000.0,4.95156,0.20019,0.20016,16265.4,16261.5,0.0,17.05,6.6,72.5,0.88,2.29,25.6,0.0,0.00221,0.00101,0.00099,82.36,80.13,0.0,0.05,0.07,5.42,0.03,0.07,3.06
megafly_10_static_uniform_load0.4_seed13.log,megafly_10,MegaFly,10,static,uniform,0.4,13,588,True,1000.0,4.9506,0.39984,0.39986,32487.1,32487.4,0.0,34.73,21.01,244.7,2.56,5.28,117.2,0.0,0.00169,0.00205,0.00223,166.29,183.16,0.0,0.76,1.13,46.99,0.12,0.8,40.54
megafly_10_static_uniform_load0.6_seed13.log,megafly_10,MegaFly,10,static,uniform,0.6,13,588,True,1000.0,4.95062,0.47999,0.48022,38999.4,39016.7,0.0,185.97,92.0,810.3,79.31,67.79,622.2,0.0,0.00135,0.00476,0.00417,386.38,333.9,0.0,2.15,2.59,85.25,1.41,2.14,80.91
megafly_10_static_uniform_load0.8_seed13.log,megafly_10,MegaFly,10,static,uniform,0.8,13,588,True,1000.0,4.95066,0.48161,0.48151,39131.1,39120.4,0.0,221.41,86.18,871.8,110.09,64.04,650.3,0.0,0.00131,0.00235,0.00283,190.99,222.03,0.0,1.23,2.55,90.79,1.17,1.74,68.41
megafly_4_static_hotregion_load0.2_seed13.log,megafly_4,MegaFly,4,static,hotregion,0.2,13,588,False,1000.0,4.70131,0.20304,0.20312,507.6,507.9,0.0,17.13,8.85,74.4,0.84,2.18,14.6,0.0,0.02931,0.00849,0.00874,21.22,21.92,0.0,1.18,2.09,23.12,0.12,0.22,1.58
